,token,normedProbCorrect,ifCorrect,numResponsesBefore,ifMatch,ifContextHumanFirst,ifPicked
1_sheep_ocean, FALSE,0.6667952252530811,True,2,True,False,False
1_doctor_store, TRUE,0.41573901974376254,False,2,True,False,False
1_student_apartment, TRUE,0.46587724851912987,False,2,True,False,False
1_butcher_skyscraper, TRUE,0.4751629414272022,False,2,True,False,True
1_toddler_stream, TRUE,0.4324921269138593,False,2,False,False,False
2_chipmunk_forest, FALSE,0.5370774624756899,True,3,True,False,False
2_ant_savannah, FALSE,0.5163201130612927,True,3,True,False,True
2_architect_hospital, TRUE,0.5457926549894807,True,3,True,False,False
2_crocodile_cave, FALSE,0.459650200545249,False,3,True,False,False
2_engineer_ocean, TRUE,0.4787468214071232,False,3,False,False,False
3_sheep_cave, FALSE,0.4866870123867239,False,4,True,False,True
3_woman_office, TRUE,0.7019006814715205,True,4,True,False,False
3_butcher_museum, TRUE,0.5877083344480847,True,4,True,False,False
3_toddler_house, TRUE,0.636286911059209,True,4,True,False,False
3_human_tundra, TRUE,0.5305719159137986,True,4,False,False,False
4_soldier_hospital, TRUE,0.4416024305065839,False,5,True,False,True
4_butcher_alley, TRUE,0.1685552137056176,False,5,True,False,False
4_crocodile_creek, FALSE,0.7328264382722446,True,5,True,False,False
4_salamander_lake, FALSE,0.6932182772307119,True,5,True,False,False
4_condor_hospital, FALSE,0.7900631337840335,True,5,False,False,False
5_lion_savannah, FALSE,0.5848232908754324,True,6,True,False,False
5_human_library, TRUE,0.5776824246212847,True,6,True,False,True
5_sheep_creek, FALSE,0.7354027072415837,True,6,True,False,False
5_human_store, TRUE,0.6008747085705481,True,6,True,False,False
5_chipmunk_hospital, FALSE,0.6629618905864441,True,6,False,False,False
6_soldier_skyscraper, TRUE,0.48519092512591816,False,7,True,False,True
6_student_library, TRUE,0.6260509501459396,True,7,True,False,False
6_lion_ocean, FALSE,0.8221863323483928,True,7,True,False,False
6_condor_delta, FALSE,0.7827824874329323,True,7,True,False,False
6_shark_house, FALSE,0.7636476695624741,True,7,False,False,False
7_bee_savannah, FALSE,0.7608763028904633,True,8,True,False,False
7_chipmunk_delta, FALSE,0.7488712900472284,True,8,True,False,False
7_doctor_condominium, TRUE,0.5275637141262599,True,8,True,False,True
7_woman_restaurant, TRUE,0.6416679804519808,True,8,True,False,False
7_ant_condominium, FALSE,0.729742534715665,True,8,False,False,False
8_soldier_museum, TRUE,0.5876316541917895,True,9,True,False,True
8_soldier_alley, TRUE,0.6007109308785291,True,9,True,False,False
8_banker_hospital, TRUE,0.6373438741104288,True,9,True,False,False
8_lion_cave, FALSE,0.7412915786270007,True,9,True,False,False
8_engineer_cave, TRUE,0.31593047146361575,False,9,False,False,False
9_sheep_ocean, FALSE,0.5959960056027732,True,2,True,False,False
9_doctor_store, TRUE,0.5190309244425676,True,2,True,False,True
9_student_apartment, TRUE,0.599580356798553,True,2,True,False,False
9_butcher_skyscraper, TRUE,0.45398795725294383,False,2,True,False,False
9_toddler_stream, TRUE,0.5360263528626555,True,2,False,False,False
10_chipmunk_forest, FALSE,0.5261297536707211,True,3,True,False,False
10_ant_savannah, FALSE,0.5468062656899055,True,3,True,False,False
10_architect_hospital, TRUE,0.5478430532838566,True,3,True,False,False
10_crocodile_cave, FALSE,0.5022859340729521,True,3,True,False,True
10_engineer_ocean, TRUE,0.4331954631282155,False,3,False,False,False
11_sheep_cave, FALSE,0.6043843242993323,True,4,True,False,False
11_woman_office, TRUE,0.571753519571903,True,4,True,False,False
11_butcher_museum, TRUE,0.30052902100414786,False,4,True,False,False
11_toddler_house, TRUE,0.49084099963789474,False,4,True,False,True
11_human_tundra, TRUE,0.3202264470023973,False,4,False,False,False
12_soldier_hospital, TRUE,0.4575494904264911,False,5,True,False,True
12_butcher_alley, TRUE,0.3728405303973353,False,5,True,False,False
12_crocodile_creek, FALSE,0.6973448999929674,True,5,True,False,False
12_salamander_lake, FALSE,0.6618673804139502,True,5,True,False,False
12_condor_hospital, FALSE,0.6831652255375508,True,5,False,False,False
13_lion_savannah, FALSE,0.5027923109705899,True,6,True,False,True
13_human_library, TRUE,0.5868688078994256,True,6,True,False,False
13_sheep_creek, FALSE,0.6261964996876104,True,6,True,False,False
13_human_store, TRUE,0.559079417615776,True,6,True,False,False
13_chipmunk_hospital, FALSE,0.6287360572080971,True,6,False,False,False
14_soldier_skyscraper, TRUE,0.3810099377293464,False,7,True,False,True
14_student_library, TRUE,0.6372248303128168,True,7,True,False,False
14_lion_ocean, FALSE,0.769859750051285,True,7,True,False,False
14_condor_delta, FALSE,0.6338379993366886,True,7,True,False,False
14_shark_house, FALSE,0.7096522811546847,True,7,False,False,False
15_bee_savannah, FALSE,0.5239360647307514,True,8,True,False,False
15_chipmunk_delta, FALSE,0.5105632330249744,True,8,True,False,True
15_doctor_condominium, TRUE,0.75656558104939,True,8,True,False,False
15_woman_restaurant, TRUE,0.7829329214229012,True,8,True,False,False
15_ant_condominium, FALSE,0.3156147987747602,False,8,False,False,False
16_soldier_museum, TRUE,0.8125514640857607,True,9,True,False,False
16_soldier_alley, TRUE,0.8110279091372611,True,9,True,False,False
16_banker_hospital, TRUE,0.8136210560088991,True,9,True,False,False
16_lion_cave, FALSE,0.5176566200884897,True,9,True,False,True
16_engineer_cave, TRUE,0.3717769852437388,False,9,False,False,False
17_sheep_ocean, FALSE,0.5643066969094942,True,2,True,True,True
17_doctor_store, TRUE,0.5784575108880445,True,2,True,True,False
17_student_apartment, TRUE,0.5786788595093945,True,2,True,True,False
17_butcher_skyscraper, TRUE,0.5693280396094749,True,2,True,True,False
17_toddler_stream, TRUE,0.568072318101531,True,2,False,True,False
18_chipmunk_forest, FALSE,0.49611673558099617,False,3,True,True,True
18_ant_savannah, FALSE,0.5322731684859497,True,3,True,True,False
18_architect_hospital, TRUE,0.5063616641847124,True,3,True,True,False
18_crocodile_cave, FALSE,0.4516448648789887,False,3,True,True,False
18_engineer_ocean, TRUE,0.6163532855551896,True,3,False,True,False
19_sheep_cave, FALSE,0.41106562173279115,False,4,True,True,False
19_woman_office, TRUE,0.5839014287786679,True,4,True,True,False
19_butcher_museum, TRUE,0.43570926960746625,False,4,True,True,False
19_toddler_house, TRUE,0.5285895239587687,True,4,True,True,True
19_human_tundra, TRUE,0.44589705099557464,False,4,False,True,False
20_soldier_hospital, TRUE,0.5897976312651358,True,5,True,True,False
20_butcher_alley, TRUE,0.5793502311659252,True,5,True,True,False
20_crocodile_creek, FALSE,0.4321588537116886,False,5,True,True,False
20_salamander_lake, FALSE,0.44873291569851287,False,5,True,True,False
20_condor_hospital, FALSE,0.45363810572387314,False,5,False,True,True
